CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXM,PT_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,137,3,11,130,413,18,486,20,208,14,2,15,1,1,0,1,3,1323,1,39,1363,2093
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,138,2,4,20,173,6,333,0,44,0,0,1,1,0,0,0,1,583,0,34,617,855
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,139,3,12,79,271,21,561,14,379,4,9,30,6,2,0,1,0,1389,0,43,1432,2095
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,140,3,8,25,597,16,654,1,83,3,1,3,0,0,0,0,2,1393,0,24,1417,1684
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,141,2,1,76,356,13,510,1,89,10,7,6,0,0,0,0,0,1069,0,23,1092,1391
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,142,4,12,100,346,30,1016,5,326,4,4,17,1,2,0,1,0,1864,0,31,1895,2503
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,143,2,1,15,236,1,348,3,42,0,0,3,0,0,0,0,1,650,0,18,668,1046
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,144,1,1,44,141,5,121,3,25,0,1,0,0,0,0,0,0,341,0,10,351,724
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,145,3,5,63,311,25,223,9,240,3,3,4,1,1,0,0,2,890,1,31,922,1524
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,146,2,14,121,232,20,169,2,75,4,5,3,0,0,1,0,0,646,0,16,662,1068
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,147,3,8,26,542,21,812,2,213,2,4,3,7,2,0,0,0,1642,0,54,1696,2014
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,8,AQUILA,148,2,5,80,132,11,354,2,261,3,6,7,1,0,2,0,0,864,3,40,907,1201
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,190,4,34,157,55,76,19,11,472,32,9,91,69,7,2,3,1,1038,0,40,1078,2870
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,191,6,34,147,118,128,9,17,628,32,19,147,56,11,0,0,1,1347,1,40,1388,3881
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,192,2,24,116,25,35,5,8,220,22,4,35,17,8,1,0,0,520,0,12,532,1117
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,193,2,9,47,12,27,7,4,119,11,8,26,12,5,0,0,0,287,0,18,305,920
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,194,1,1,18,4,5,5,5,85,5,2,32,4,0,0,0,0,166,0,9,175,488
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,195,1,6,16,17,17,6,2,120,16,1,26,0,0,0,0,0,227,0,12,239,639
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,196,1,2,4,7,1,0,1,26,3,0,3,1,1,0,0,0,49,0,4,53,106
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,197,1,1,15,4,5,6,4,41,22,1,75,1,1,0,0,0,176,0,11,187,435
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,198,3,21,32,107,87,10,5,145,77,3,34,16,3,1,1,0,542,0,30,572,1510
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,199,3,58,82,25,24,10,8,216,32,4,75,10,9,1,2,0,556,0,29,585,1587
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,200,3,47,105,70,22,5,6,263,13,7,53,10,5,2,0,0,608,0,24,632,2002
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,201,3,9,131,33,29,12,6,162,97,3,25,12,3,0,1,0,523,0,35,558,1909
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,202,3,12,118,55,24,10,8,162,108,2,27,10,6,2,1,2,547,0,24,571,1995
,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,12,BUENAVISTA,203,3,12,100,64,14,7,4,183,250,3,31,5,3,0,0,4,680,0,20,700,1759
